id,jobId,title,department,location,country,description,requirements,isActive,postedAt,createdAt,updatedAt
54,CS-CN-001,Customer Experience Program Manager,客服部,Shanghai,cn,"Define and drive customer experience programs across touchpoints including online support, service centers and warranty processes for the China market.",5+ years of customer experience or service operations experience; strong analytical and process design skills; able to collaborate with cross-functional and regional teams.,1,2025-11-26 11:58:21,2025-11-26 11:58:21,2025-11-26 11:58:21
55,DATA-CN-001,Data Engineer,資訊部,Shanghai,cn,"Build and maintain data pipelines and infrastructure that connect e-commerce, CRM and service systems, enabling reliable analytics and reporting.",3+ years of data engineering experience; proficient with SQL and at least one programming language such as Python; experience with cloud data platforms preferred.,1,2025-11-26 11:58:22,2025-11-26 11:58:22,2025-11-26 11:58:22
56,DATA-WY-001,"Senior Data Analyst, Growth",營運部,Wyoming,us,"Partner with marketing, product and e-commerce teams to uncover growth opportunities through rigorous analysis, experimentation and reporting.",4+ years of analytics experience in digital or e-commerce businesses; strong SQL skills and experience with BI tools; able to translate data into actionable insights.,1,2025-11-26 11:58:22,2025-11-26 11:58:22,2025-11-26 11:58:22
57,ECOM-WY-001,Global E-commerce Manager,營運部,Wyoming,us,"Own global e-commerce strategy and performance across key marketplaces and D2C stores, aligning pricing, assortment and campaigns with local teams.","7+ years of e-commerce or online business experience; proven track record scaling revenue across multiple markets; fluent in English, additional languages a plus.",1,2025-11-26 11:58:23,2025-11-26 11:58:22,2025-11-26 11:58:22
58,ENG-CN-001,"Senior Hardware Engineer, Air Purifier",研發部,Shanghai,cn,"Lead the hardware design of next-generation air purifiers, working closely with industrial design, firmware and manufacturing partners to deliver reliable, premium products.",Bachelor’s degree in Electrical Engineering or related field; 5+ years of hardware design experience in consumer electronics; experience with power electronics or motor control is a plus.,1,2025-11-26 11:58:23,2025-11-26 11:58:23,2025-11-26 11:58:23
59,ENG-CN-002,"Mechanical Design Engineer, Home Appliances",研發部,Shanghai,cn,"Own mechanical design from concept to mass production for air purifiers and dehumidifiers, balancing performance, cost and manufacturability.","Bachelor’s degree in Mechanical Engineering or related field; 3+ years of mechanical design experience; proficient in 3D CAD and familiar with plastics, sheet metal and tolerance analysis.",1,2025-11-26 11:58:24,2025-11-26 11:58:23,2025-11-26 11:58:23
60,ENG-CN-003,Firmware Engineer,研發部,Shanghai,cn,"Develop and optimize embedded firmware for smart home appliances, enabling connectivity, sensing and control features across product lines.",3+ years of embedded firmware development experience; familiar with C/C++ and RTOS; experience with Wi‑Fi/BLE modules and OTA update mechanisms preferred.,1,2025-11-26 11:58:24,2025-11-26 11:58:24,2025-11-26 11:58:24
61,FIN-WY-001,Finance Business Partner,財務部,Wyoming,us,"Support business leaders with financial planning, forecasting and performance tracking, providing insights that guide investment and growth decisions.",5+ years of FP&A or finance business partner experience; strong modeling and presentation skills; experience in fast-growing companies preferred.,1,2025-11-26 11:58:25,2025-11-26 11:58:24,2025-11-26 11:58:24
62,HR-WY-001,Talent Acquisition Partner,人資部,Wyoming,us,"Partner with hiring managers across regions to define hiring needs, manage end-to-end recruitment and build a strong talent pipeline.",4+ years of in-house or agency recruiting experience; comfortable hiring for technical and non-technical roles; excellent stakeholder management skills.,1,2025-11-26 11:58:25,2025-11-26 11:58:25,2025-11-26 11:58:25
63,ID-CN-001,Industrial Designer,設計部,Shanghai,cn,"Collaborate with hardware and manufacturing teams to design premium, human-centered home appliances aligned with the Apolnus design language.",Bachelor’s degree in Industrial Design or related field; strong portfolio in consumer products; experience working with Asian manufacturing partners is a plus.,1,2025-11-26 11:58:26,2025-11-26 11:58:25,2025-11-26 11:58:25
64,ID-TW-001,工業設計師（家電）,設計部,Taipei,tw,負責空氣清淨機、清淨除濕機等家電產品之外觀與使用者操作體驗設計，平衡量產可行性與品牌美學語言。,3年以上工業設計相關經驗，具家電或消費性電子產品量產實績，熟悉結構、材料與加工限制，能與研發與工廠順暢協作。,1,2025-11-26 11:58:26,2025-11-26 11:58:26,2025-11-26 11:58:26
65,IT-WY-001,IT Systems Engineer,資訊部,Wyoming,us,"Design, deploy and maintain core IT systems including collaboration tools, identity management and endpoint security for a growing global team.",3+ years of IT infrastructure or systems engineering experience; familiar with cloud-based productivity suites and security best practices.,1,2025-11-26 11:58:27,2025-11-26 11:58:26,2025-11-26 11:58:26
66,MKT-CN-001,Channel Marketing Specialist,行銷部,Shanghai,cn,"Plan and execute channel marketing campaigns with key retail and e-commerce partners in China, ensuring consistent brand presence and sell-through.",3+ years of channel or trade marketing experience; familiar with major Chinese e-commerce platforms; excellent coordination and project management skills.,1,2025-11-26 11:58:27,2025-11-26 11:58:27,2025-11-26 11:58:27
67,MKT-WY-001,Performance Marketing Lead,行銷部,Wyoming,us,"Lead global performance marketing strategy across paid social, search and affiliates, optimizing full-funnel campaigns for growth and efficiency.",5+ years of hands-on performance marketing experience; strong analytical mindset and experimentation skills; comfortable working with large media budgets.,1,2025-11-26 11:58:27,2025-11-26 11:58:27,2025-11-26 11:58:27
68,MKT-WY-002,"Content Strategist, Brand Storytelling",行銷部,Wyoming,us,"Shape Apolnus brand storytelling across web, social and campaigns, crafting narratives that connect high-end design with everyday living.",5+ years of content or brand strategy experience; excellent writing skills in English and Traditional Chinese; experience working with creative and media teams.,1,2025-11-26 11:58:28,2025-11-26 11:58:28,2025-11-26 11:58:28
69,QA-CN-001,Quality Assurance Manager,品保部,Shanghai,cn,"Lead product quality strategy from NPI to mass production, define test plans and drive continuous improvement with factories and internal teams.",5+ years of quality-related experience in hardware products; familiar with reliability testing and failure analysis; strong communication skills in English and Mandarin.,1,2025-11-26 11:58:28,2025-11-26 11:58:28,2025-11-26 11:58:28
70,SALES-CN-001,"Regional Sales Manager, China",銷售部,Shanghai,cn,"Drive sales growth for Apolnus in China through retail, e-commerce and distribution partners, meeting revenue and margin targets.",8+ years of sales experience in home appliance or consumer electronics; proven track record growing new brands; strong key account management skills.,1,2025-11-26 11:58:29,2025-11-26 11:58:28,2025-11-26 11:58:28
71,SCM-CN-001,"Supply Chain Manager, Greater China",供應鏈管理部,Shanghai,cn,"Own end-to-end supply chain planning for Greater China, including supplier management, capacity planning, cost optimization and delivery performance.",7+ years of supply chain or operations experience in consumer electronics; strong negotiation skills and experience collaborating with ODM/OEM partners in Mainland China.,1,2025-11-26 11:58:29,2025-11-26 11:58:29,2025-11-26 11:58:29
72,UX-TW-001,UI/UX 設計師,設計部,Taipei,tw,負責官網、會員系統與後台工具的介面與互動設計，與產品、工程團隊密切合作，打造兼具美感與易用性的數位體驗。,3年以上 UI/UX 設計經驗，具 Web / App 作品集，熟悉 Figma 等設計工具，能以使用者旅程與數據為導向優化體驗。,1,2025-11-26 11:58:30,2025-11-26 11:58:29,2025-11-26 11:58:29
73,UX-WY-001,UX Writer / Content Designer,設計部,Wyoming,us,"Create clear, consistent and human product copy across websites, apps and service flows, ensuring a cohesive Apolnus voice.",3+ years of UX writing or content design experience; bilingual in English and Traditional Chinese; able to collaborate closely with designers and product managers.,1,2025-11-26 11:58:30,2025-11-26 11:58:30,2025-11-26 11:58:30
74,PM-JP-001,シニアプロダクトマネージャー（空気清浄・除湿）,產品部,Tokyo,jp,プレミアム空気清浄・除湿カテゴリーの中長期プロダクトロードマップをリードし、市場インサイト、ユーザーリサーチ、技術トレンドを統合しながら、新しい体験価値を設計するポジションです。開発・マーケティング・サプライチェーンと緊密に連携し、コンセプト定義から量産・ローンチまでをエンドツーエンドで推進していただきます。,家電またはコンシューマーエレクトロニクス領域でのプロダクトマネジメント経験5年以上。ユーザー中心設計およびデータドリブンな意思決定に強い関心を持ち、複数ステークホルダーを巻き込むリーダーシップを有する方。日本語ネイティブレベル、英語での基本的なビジネスコミュニケーションができる方。,1,2025-11-26 12:06:29,2025-11-26 12:06:29,2025-11-26 12:06:29
75,ID-JP-001,インダストリアルデザイナー（プレミアム家電）,設計部,Tokyo,jp,空気清浄機・除湿機などのプロダクトデザインを通じて、住空間に溶け込むミニマルでタイムレスな美しさを形にするポジションです。コンセプトスケッチから3Dモデリング、CMF検討、量産段階での改善まで、エンジニアやプロダクトマネージャーと協働しながら一貫したデザインクオリティを追求していただきます。,インダストリアルデザイン専攻または同等の実務経験3年以上。家電・家具・コンシューマー製品のいずれかで量産経験を有し、3D CADツールに精通している方。ミニマルデザインやマテリアルへのこだわりが強く、ポートフォリオでそれを示せる方。,1,2025-11-26 12:06:30,2025-11-26 12:06:30,2025-11-26 12:06:30
76,UX-JP-001,UXデザイナー（デジタルエクスペリエンス）,設計部,Tokyo,jp,アプリ、Webサイト、会員プラットフォームなど、製品と連動したデジタル体験全体のUX設計を担うポジションです。ユーザーリサーチ、ジャーニーマップ、ワイヤーフレーム、プロトタイピングを通じて、直感的かつ一貫性のある体験をデザインしていただきます。,UXデザインまたはサービスデザインの実務経験3年以上。Figmaなどのデザインツールに習熟し、ユーザビリティテストやインタビューなど定性・定量リサーチの経験を有する方。日本語での高いコミュニケーション能力必須、英語力尚可。,1,2025-11-26 12:06:30,2025-11-26 12:06:30,2025-11-26 12:06:30
30001,tw-design-121,資深設計師,設計部,Taipei,tw,我們正在尋找一位對「高級感」有強烈敏銳度的設計師，一起打造品牌的整體視覺語言。你的作品，將不只是好看，而是成為品牌被記住的關鍵。,"1.視覺設計、商業設計、傳達設計、多媒體設計相關科系畢業佳
2.2 年以上相關設計工作經驗（能力優秀者年資可彈性）
3.熟練使用設計工具：Adobe Photoshop / Illustrator，會使用 Figma、InDesign 加分
4.具備紮實的排版能力，對字距、行距、留白、比例有強迫症式的堅持
5.對「高級感」、「極簡風」、「國際品牌調性」有明確審美（例如 Apple、Dyson、Muji、精品品牌等）
6.能理解品牌定位，將其轉化成一致且有記憶點的視覺語言
7.溝通順暢，能獨立作業，也能與團隊來回討論與修正
8.具備時間管理能力，能在期限內交付高品質作品",1,2025-12-02 04:59:01,2025-12-02 04:59:01,2025-12-05 08:50:42
